Height(Inches),Weight(Pounds),Height in cm,Weight in kg,,,,,category
66.36418,119.3701,168.5649262,54.14543096,,170,,180,170-180
67.537,133.8148,171.5438874,60.69744446,,170,,180,170-180
66.50418,128.7325,168.920526,58.39214921,,170,,180,170-180
68.99958,137.5453,175.2588386,62.38957281,,180,,190,180-190
68.30355,129.7604,173.4909233,58.85839737,,170,,180,170-180
67.01255,128.824,170.2117851,58.43365297,,170,,180,170-180
70.80592,135.3165,179.8469397,61.37860493,,180,,190,180-190
68.21951,109.6113,173.2774618,49.71890847,,170,,180,170-180
69.05914,142.4684,175.4101209,64.62265606,,180,,190,180-190
67.73103,132.749,172.0367233,60.21400513,,170,,180,170-180
67.21568,103.5275,170.727735,46.95933993,,170,,180,170-180
67.36763,124.7299,171.1136878,56.57659823,,170,,180,170-180
65.27033,129.3137,165.7865487,58.65577741,,170,,180,170-180
70.84278,134.0175,179.940564,60.78938774,,180,,190,180-190
69.92442,140.3969,177.6079309,63.68303835,,180,,190,180-190
64.28508,102.8351,163.284015,46.6452722,,160,,170,160-170
68.2452,128.5214,173.3427144,58.29639575,,170,,180,170-180
66.35708,120.2991,168.5468922,54.56681877,,170,,180,170-180
68.36275,138.6036,173.6412912,62.86961018,,170,,180,170-180
65.4769,132.9574,166.3112362,60.3085339,,170,,180,170-180
69.71947,115.6233,177.0873582,52.44590905,,180,,190,180-190
67.72554,122.524,172.0227787,55.57601764,,170,,180,170-180
68.63941,134.6254,174.3440073,61.06512687,,170,,180,170-180
66.78405,121.8986,169.6313954,55.29234063,,170,,180,170-180
70.05147,155.3767,177.9306377,70.47776941,,180,,190,180-190
66.27848,128.9418,168.3472483,58.48708621,,170,,180,170-180
69.20198,129.1013,175.7729343,58.55943428,,180,,190,180-190
69.13481,139.4733,175.6023226,63.26409994,,180,,190,180-190
67.36436,140.8901,171.105382,63.90675037,,170,,180,170-180
70.09297,131.5916,178.0360477,59.6890167,,180,,190,180-190
70.1766,121.1232,178.2484677,54.94062469,,180,,190,180-190
68.22556,131.5127,173.2928288,59.65322822,,170,,180,170-180
68.12932,136.5479,173.0483794,61.93715924,,170,,180,170-180
70.24256,141.4896,178.4160061,64.17867932,,180,,190,180-190
71.48752,140.6104,181.5782027,63.77988043,,180,,190,180-190
69.20477,112.1413,175.7800209,50.86649853,,180,,190,180-190
70.06306,133.457,177.9600763,60.53514891,,180,,190,180-190
70.55703,131.8001,179.2147594,59.78359082,,180,,190,180-190
66.28644,120.0285,168.3674667,54.44407653,,170,,180,170-180
63.42577,123.0972,161.1013688,55.83601709,,160,,170,160-170
66.76711,128.1432,169.5883678,58.12484691,,170,,180,170-180
68.88741,115.4759,174.9739269,52.37904945,,170,,180,170-180
64.87434,102.0927,164.7807346,46.30852483,,160,,170,160-170
67.09272,130.353,170.4154168,59.12719652,,170,,180,170-180
68.34761,134.1842,173.6028357,60.86500168,,170,,180,170-180
65.61073,98.64133,166.6511642,44.74300787,,170,,180,170-180
67.75551,114.5599,172.0989025,51.96355835,,170,,180,170-180
68.0212,123.4917,172.7737547,56.01495949,,170,,180,170-180
67.66193,123.048,171.8612094,55.81370032,,170,,180,170-180
66.3146,126.4772,168.438993,57.36916113,,170,,180,170-180
69.43706,128.417,176.3700372,58.24904065,,180,,190,180-190
63.83624,127.1941,162.143962,57.69434188,,160,,170,160-170
67.72277,122.0562,172.0157429,55.36382687,,170,,180,170-180
70.05098,127.6064,177.9293931,57.88135824,,180,,190,180-190
70.18602,131.6423,178.2723945,59.71201386,,180,,190,180-190
65.94588,111.8955,167.5024447,50.7550054,,170,,180,170-180
70.007,122.039,177.817684,55.35602507,,180,,190,180-190
68.61129,128.5547,174.2725825,58.31150039,,170,,180,170-180
68.80817,132.6792,174.7726574,60.18234435,,170,,180,170-180
69.76212,136.0632,177.1956891,61.71730276,,180,,190,180-190
65.45539,115.9403,166.2566008,52.589698,,170,,180,170-180
68.82534,136.9041,174.8162692,62.09872903,,170,,180,170-180
65.8003,119.8804,167.1326717,54.37689942,,170,,180,170-180
67.21474,109.0055,170.7253474,49.44412189,,170,,180,170-180
69.42021,128.2705,176.3272382,58.18258929,,180,,190,180-190
68.94396,135.2913,175.1175638,61.36717439,,180,,190,180-190
67.9415,106.8558,172.5713168,48.46903321,,170,,180,170-180
65.62506,123.2939,166.6875624,55.92523882,,170,,180,170-180
66.49607,109.5143,168.8999266,49.67490996,,170,,180,170-180
67.92809,119.3087,172.5372554,54.11758035,,170,,180,170-180
68.89415,140.2402,174.9910465,63.61196034,,170,,180,170-180
70.241,133.9841,178.4120437,60.77423774,,180,,190,180-190
68.26623,132.5807,173.3961306,60.13766545,,170,,180,170-180
71.23161,130.6988,180.9281917,59.28404895,,180,,190,180-190
69.09747,115.5637,175.507479,52.41887491,,180,,190,180-190
64.39693,123.7941,163.5681139,56.15212599,,160,,170,160-170
71.09585,128.1427,180.5833615,58.12462012,,180,,190,180-190
68.21868,135.9646,173.2753536,61.67257849,,170,,180,170-180
65.91721,116.6273,167.429623,52.90131633,,170,,180,170-180
67.4369,126.8241,171.2896335,57.52651251,,170,,180,170-180
73.90107,151.3913,187.7086164,68.67002023,,190,,200,190-200
69.98149,130.4022,177.7528886,59.14951329,,180,,190,180-190
69.51862,136.2068,176.5771994,61.7824387,,180,,190,180-190
65.18437,113.3989,165.5682104,51.43693698,,170,,180,170-180
68.00869,125.3287,172.7419793,56.84820967,,170,,180,170-180
68.3384,127.5846,173.5794423,57.87146991,,170,,180,170-180
65.18417,107.1564,165.5677024,48.60538324,,170,,180,170-180
68.26209,116.4588,173.385615,52.82488592,,170,,180,170-180
68.56865,133.8402,174.164277,60.70896572,,170,,180,170-180
64.49675,112.8901,163.8216565,51.20614891,,160,,170,160-170
68.71053,130.7568,174.524652,59.31035734,,170,,180,170-180
68.89148,137.7571,174.9842647,62.48564378,,170,,180,170-180
69.54011,125.4036,176.631784,56.88218378,,180,,190,180-190
67.39964,138.4659,171.1949932,62.80715044,,170,,180,170-180
66.47521,120.8184,168.8469422,54.80236957,,170,,180,170-180
66.01217,140.1539,167.6708213,63.57281527,,170,,180,170-180
72.44434,136.7397,184.0085242,62.02415836,,180,,190,180-190
64.12642,106.1139,162.8810188,48.13251263,,160,,170,160-170
70.98112,158.9562,180.2919474,72.10140523,,180,,190,180-190
67.50124,108.7868,171.453057,49.34492112,,170,,180,170-180
72.01515,138.7758,182.9183822,62.94771888,,180,,190,180-190
65.31143,115.9136,165.8909426,52.57758707,,170,,180,170-180
67.07509,146.2922,170.3706366,66.35710463,,170,,180,170-180
64.39148,109.8765,163.5542709,49.83920131,,160,,170,160-170
69.37003,139.0499,176.1997811,63.0720487,,180,,190,180-190
68.37921,119.9001,173.6830996,54.3858352,,170,,180,170-180
65.31018,128.3069,165.8877676,58.19910007,,170,,180,170-180
67.1369,127.2428,170.5276339,57.71643186,,170,,180,170-180
68.39468,115.2306,173.7223934,52.26778311,,170,,180,170-180
66.2918,124.7975,168.3810811,56.60726112,,170,,180,170-180
67.1866,126.9511,170.6538718,57.58411881,,170,,180,170-180
65.99156,111.2711,167.6184719,50.47178199,,170,,180,170-180
69.43393,122.6089,176.362087,55.61452767,,180,,190,180-190
67.97463,124.2084,172.655467,56.34004953,,170,,180,170-180
67.76133,124.6453,172.1136853,56.53822427,,170,,180,170-180
65.27864,119.5169,165.8076561,54.2120184,,170,,180,170-180
73.83364,139.2983,187.5373443,63.18472118,,190,,200,190-200
66.81312,104.8265,169.7052332,47.54855712,,170,,180,170-180
66.89411,123.0424,169.9109476,55.8111602,,170,,180,170-180
65.73568,118.8923,166.968537,53.92870427,,170,,180,170-180
65.98283,121.4939,167.5962977,55.10877158,,170,,180,170-180
66.58396,119.2488,169.1231671,54.09041014,,170,,180,170-180
67.11294,135.0239,170.4667755,61.24588364,,170,,180,170-180
65.87481,116.228,167.321927,52.72019668,,170,,180,170-180
66.78067,109.1731,169.6228102,49.52014406,,170,,180,170-180
68.73577,124.2237,174.5887615,56.3469895,,170,,180,170-180
66.22666,141.1645,168.2156256,64.03121626,,170,,180,170-180
65.95968,129.1501,167.5374967,58.58156961,,170,,180,170-180
68.58372,127.8693,174.2025547,58.00060781,,170,,180,170-180
66.59347,120.9244,169.1473225,54.85045042,,170,,180,170-180
66.96574,127.6466,170.0928877,57.89959267,,170,,180,170-180
68.08015,101.4693,172.9234876,46.02575501,,170,,180,170-180
70.19025,144.9927,178.2831387,65.76766064,,180,,190,180-190
65.52149,110.9523,166.4244947,50.32717657,,170,,180,170-180
67.45905,132.8625,171.3458945,60.26548793,,170,,180,170-180
67.40985,146.3385,171.2209265,66.37810598,,170,,180,170-180
69.66158,145.5894,176.9403177,66.03831953,,180,,190,180-190
65.79799,120.8431,167.1268044,54.81357331,,170,,180,170-180
66.10558,115.7813,167.9080825,52.51757673,,170,,180,170-180
68.23987,128.3019,173.3291762,58.19683211,,170,,180,170-180
68.02403,127.4718,172.7809429,57.82030463,,170,,180,170-180
71.39044,127.8761,181.3316197,58.00369225,,180,,190,180-190
65.7316,121.4997,166.9581738,55.11140242,,170,,180,170-180
66.43358,112.7148,168.7412021,51.12663407,,170,,180,170-180
70.01309,135.002,177.8331526,61.23594996,,180,,190,180-190
69.48146,128.6789,176.4828131,58.36783663,,180,,190,180-190
68.62764,124.4062,174.3141115,56.42977021,,170,,180,170-180
68.36275,140.026,173.6412912,63.51480074,,170,,180,170-180
68.39028,117.519,173.7112174,53.30578512,,170,,180,170-180
68.77413,143.8737,174.6861959,65.26009017,,170,,180,170-180
69.9236,141.1703,177.6058481,64.0338471,,180,,190,180-190
71.55542,155.9414,181.7506687,70.73391333,,180,,190,180-190
68.44764,134.0093,173.8569117,60.78566828,,170,,180,170-180
66.71398,130.0975,169.4534177,59.01130354,,170,,180,170-180
66.68413,106.2265,169.3775987,48.18358719,,170,,180,170-180
67.93699,112.0489,172.5598614,50.82458655,,170,,180,170-180
68.89855,136.1884,175.0022225,61.77409259,,180,,190,180-190
67.29191,131.236,170.9213591,59.52771906,,170,,180,170-180
69.57212,131.3231,176.7130894,59.56722701,,180,,190,180-190
67.67479,119.5261,171.8938738,54.21619145,,170,,180,170-180
69.04155,116.9965,175.3654423,53.06878283,,180,,190,180-190
67.96765,138.5255,172.6377378,62.83418458,,170,,180,170-180
65.83982,109.6518,167.2330525,49.73727899,,170,,180,170-180
65.77288,130.1569,167.063025,59.03824695,,170,,180,170-180
71.14106,137.1114,180.6981948,62.19275884,,180,,190,180-190
67.83055,113.759,172.289504,51.60027578,,170,,180,170-180
65.0693,114.9725,165.2759328,52.15071078,,170,,180,170-180
69.70745,127.7149,177.0568274,57.93057307,,180,,190,180-190
69.92983,121.9972,177.6216723,55.33706489,,180,,190,180-190
66.11569,117.9607,167.9337619,53.50613711,,170,,180,170-180
68.61364,127.7141,174.2785515,57.93021019,,170,,180,170-180
68.9976,117.9619,175.2538094,53.50668142,,180,,190,180-190
66.79171,125.1554,169.6508518,56.76960202,,170,,180,170-180
68.02363,141.1026,172.7799269,64.00313886,,170,,180,170-180
69.67258,145.4822,176.9682576,65.98969437,,180,,190,180-190
71.82178,116.065,182.4272227,52.64626103,,180,,190,180-190
72.74676,135.7458,184.7766706,61.57333237,,180,,190,180-190
67.27951,132.9248,170.8898631,60.29374677,,170,,180,170-180
67.41015,115.6622,171.2216885,52.46355381,,170,,180,170-180
68.5315,114.3184,174.069916,51.85401566,,170,,180,170-180
68.47126,148.952,173.9169065,67.56357105,,170,,180,170-180
68.51867,142.1878,174.0373278,64.49537789,,170,,180,170-180
63.72529,134.104,161.8621492,60.82862353,,160,,170,160-170
67.70483,141.8926,171.9701753,64.36147726,,170,,180,170-180
69.47115,138.7444,176.4566257,62.93347606,,180,,190,180-190
66.70198,134.449,169.4229377,60.98511308,,170,,180,170-180
65.23126,117.0167,165.6873109,53.07794541,,170,,180,170-180
69.89473,115.6752,177.5325183,52.46945052,,180,,190,180-190
69.83048,134.7905,177.3693234,61.14001506,,180,,190,180-190
65.3979,120.5746,166.1105763,54.69178362,,170,,180,170-180
68.32214,120.0835,173.5381419,54.46902414,,170,,180,170-180
65.93895,84.3598,167.4848426,38.26500712,,170,,180,170-180
70.09805,138.9394,178.0489509,63.02192668,,180,,190,180-190
66.05531,143.5245,167.7803968,65.10169553,,170,,180,170-180
68.23481,123.1347,173.3163238,55.85302683,,170,,180,170-180
65.21758,115.5261,165.6525637,52.40181981,,170,,180,170-180
69.16173,120.9844,175.6706993,54.87766599,,180,,190,180-190
67.60064,120.6473,171.7055329,54.72475982,,170,,180,170-180
67.28621,124.0352,170.9068811,56.26148724,,170,,180,170-180
66.84323,117.2238,169.7817125,53.1718845,,170,,180,170-180
68.08281,127.9598,172.930244,58.04165797,,170,,180,170-180
66.56991,116.7527,169.0874801,52.95819688,,170,,180,170-180
70.16973,121.9957,178.231018,55.3363845,,180,,190,180-190
67.85113,123.9952,172.3417771,56.24334352,,170,,180,170-180
66.62309,108.855,169.2225572,49.37585616,,170,,180,170-180
63.68816,104.6574,161.767839,47.47185456,,160,,170,160-170
68.0356,132.248,172.8103307,59.98675509,,170,,180,170-180
66.941,127.1834,170.0300482,57.68948844,,170,,180,170-180
66.26292,125.1209,168.3077259,56.75395306,,170,,180,170-180
70.7301,133.322,179.654357,60.47391387,,180,,190,180-190
70.70844,122.3364,179.5993406,55.49092361,,180,,190,180-190
73.26872,130.2636,186.1024483,59.08664532,,190,,200,190-200
63.79021,116.7431,162.0270459,52.95384239,,160,,170,160-170
67.84109,125.8534,172.3162755,57.08620987,,170,,180,170-180
67.78058,100.627,172.1625802,45.6436937,,170,,180,170-180
67.23901,118.4945,170.7869932,53.74826501,,170,,180,170-180
66.75701,137.1255,169.5627138,62.1991545,,170,,180,170-180
69.03098,118.6991,175.3385945,53.84107012,,180,,190,180-190
68.52652,124.1641,174.0572668,56.31995537,,170,,180,170-180
64.65419,124.9442,164.2215539,56.6738032,,160,,170,160-170
65.14295,126.3889,165.4630036,57.32910887,,170,,180,170-180
66.74124,121.5255,169.5226581,55.12310512,,170,,180,170-180
66.99923,133.2951,170.1779523,60.46171222,,170,,180,170-180
70.26611,127.4072,178.475823,57.79100253,,180,,190,180-190
67.57666,125.08,171.6446237,56.73540111,,170,,180,170-180
66.30582,102.8114,168.4166919,46.63452205,,170,,180,170-180
68.90702,134.2212,175.0237363,60.88178462,,180,,190,180-190
65.60543,100.9758,166.6377022,45.8019069,,170,,180,170-180
68.00189,145.8886,172.7247073,66.17403453,,170,,180,170-180
69.93715,155.3046,177.6402651,70.44506536,,180,,190,180-190
70.1459,138.7175,178.1704898,62.92127441,,180,,190,180-190
66.66364,116.2611,169.3255542,52.7352106,,170,,180,170-180
69.40676,120.6087,176.2930752,54.70725114,,180,,190,180-190
66.80598,114.4083,169.6870976,51.89479366,,170,,180,170-180
67.70048,133.3406,171.9591263,60.4823507,,170,,180,170-180
69.13438,92.74955,175.6012304,42.07053823,,180,,190,180-190
67.53769,131.7825,171.54564,59.77560759,,170,,180,170-180
65.77912,118.3865,167.0788746,53.69927697,,170,,180,170-180
66.25769,131.1466,168.2944417,59.48716786,,170,,180,170-180
67.39038,130.2033,171.1714728,59.05929367,,170,,180,170-180
64.94327,129.1836,164.9558167,58.59676498,,160,,170,160-170
69.25699,143.1445,175.9126596,64.92933022,,180,,190,180-190
69.07739,138.7307,175.4564759,62.92726184,,180,,190,180-190
69.64403,130.9528,176.8957407,59.39926155,,180,,190,180-190
69.07705,124.3032,175.4556123,56.38305014,,180,,190,180-190
68.01304,135.3702,172.7530283,61.40296287,,170,,180,170-180
68.85664,124.1988,174.8957712,56.33569504,,170,,180,170-180
63.19158,111.2389,160.5065265,50.45717629,,160,,170,160-170
65.57591,129.4037,166.5627215,58.69660077,,170,,180,170-180
69.12101,127.7444,175.5672706,57.94395406,,180,,190,180-190
69.78765,121.3311,177.2605353,55.03492665,,180,,190,180-190
67.48203,118.2183,171.4042636,53.62298265,,170,,180,170-180
69.08809,123.3441,175.4836538,55.94800918,,180,,190,180-190
68.5529,151.9118,174.124272,68.90611534,,170,,180,170-180
68.21327,115.3108,173.2616122,52.30416126,,170,,180,170-180
67.1012,122.3844,170.436956,55.51269607,,170,,180,170-180
71.23661,129.2323,180.9408917,58.61885495,,180,,190,180-190
69.11946,138.2824,175.5633336,62.72391614,,180,,190,180-190
65.49848,144.0565,166.3660494,65.34300696,,170,,180,170-180
66.58706,120.8482,169.1310411,54.81588664,,170,,180,170-180
67.99831,113.3034,172.7156141,51.39361885,,170,,180,170-180
72.57747,149.3227,184.3466743,67.73171794,,180,,190,180-190
67.97585,130.6373,172.6585658,59.25615299,,170,,180,170-180
66.62347,122.387,169.2235224,55.51387541,,170,,180,170-180
67.29574,133.8677,170.9310873,60.72143952,,170,,180,170-180
65.95951,134.8336,167.5370649,61.15956491,,170,,180,170-180
66.54011,137.8363,169.0117881,62.52156834,,170,,180,170-180
68.07723,112.6812,172.9160708,51.11139335,,170,,180,170-180
65.83291,121.1964,167.2155011,54.97382769,,170,,180,170-180
69.23721,114.9262,175.8624184,52.12970943,,180,,190,180-190
64.69413,110.3762,164.3230015,50.06586169,,160,,170,160-170
69.21372,126.0337,175.8027539,57.16799267,,180,,190,180-190
67.16792,118.7008,170.6064247,53.84184122,,170,,180,170-180
67.8467,119.3108,172.3305249,54.1185329,,170,,180,170-180
69.27389,150.7397,175.9555856,68.37445909,,180,,190,180-190
67.90547,121.1142,172.4798007,54.93654235,,170,,180,170-180
67.076,118.4065,170.372948,53.70834883,,170,,180,170-180
70.01531,142.759,177.8387914,64.75447016,,180,,190,180-190
70.05454,145.6305,177.9384355,66.0569622,,180,,190,180-190
70.86714,127.3425,180.0024384,57.76165507,,180,,190,180-190
66.0586,115.9678,167.7887534,52.6021718,,170,,180,170-180
65.23745,104.4441,165.7030335,47.37510319,,170,,180,170-180
68.7413,138.4905,174.6028077,62.81830882,,170,,180,170-180
69.51946,145.5049,176.579333,65.99999093,,180,,190,180-190
70.30764,124.4065,178.5813092,56.42990629,,180,,190,180-190
67.29982,124.1866,170.9414505,56.33016121,,170,,180,170-180
67.60582,126.1659,171.7186901,57.22795765,,170,,180,170-180
67.85566,138.8125,172.3532833,62.96436574,,170,,180,170-180
66.46536,121.5515,168.8219232,55.13489853,,170,,180,170-180
68.92071,114.2555,175.0585089,51.82548466,,180,,190,180-190
68.46886,129.4022,173.9108105,58.69592039,,170,,180,170-180
69.5193,137.5583,176.5789266,62.39546951,,180,,190,180-190
70.23956,134.4996,178.4083861,61.00806488,,180,,190,180-190
67.85651,127.7103,172.3554423,57.92848654,,170,,180,170-180
68.00435,115.6709,172.7309557,52.46750007,,170,,180,170-180
67.13983,131.5906,170.5350761,59.68856311,,170,,180,170-180
68.09931,127.5839,172.972154,57.8711524,,170,,180,170-180
68.99077,125.7211,175.2364612,57.02619953,,180,,190,180-190
69.32618,119.9885,176.0884021,54.42593281,,180,,190,180-190
70.09286,140.8676,178.0357683,63.89654453,,180,,190,180-190
68.74304,136.9164,174.6072273,62.10430823,,170,,180,170-180
64.18633,118.4759,163.0331902,53.73982818,,160,,170,160-170
66.09074,129.5516,167.8703889,58.76368717,,170,,180,170-180
69.24418,152.0714,175.8801222,68.97850877,,180,,190,180-190
69.66512,120.8646,176.9493092,54.82332556,,180,,190,180-190
68.42721,136.1027,173.8050195,61.73521968,,170,,180,170-180
68.28613,130.0611,173.4466765,58.99479275,,170,,180,170-180
69.37684,131.7743,176.2170784,59.77188813,,180,,190,180-190
68.35315,139.38,173.6169072,63.22177972,,170,,180,170-180
72.32489,168.229,183.7051214,76.30748156,,180,,190,180-190
70.37159,127.6446,178.7437421,57.89868549,,180,,190,180-190
65.72927,131.8008,166.9522556,59.78390834,,170,,180,170-180
66.49627,122.8561,168.9004346,55.72665584,,170,,180,170-180
70.81339,140.2133,179.8659135,63.59975869,,180,,190,180-190
67.37579,142.6929,171.1344142,64.72448767,,170,,180,170-180
67.79709,137.4299,172.2045156,62.33722818,,170,,180,170-180
68.1607,126.0392,173.1280845,57.17048743,,170,,180,170-180
68.85782,143.5985,174.8987684,65.13526141,,170,,180,170-180
67.71342,122.62,171.9919939,55.61956255,,170,,180,170-180
64.66007,108.6044,164.2364891,49.26218577,,160,,170,160-170
65.73721,100.6617,166.9724232,45.65943337,,170,,180,170-180
68.42441,116.1397,173.7979075,52.68014442,,170,,180,170-180
68.88946,140.5293,174.9791339,63.74309405,,170,,180,170-180
68.27367,125.6907,173.4150282,57.0124103,,170,,180,170-180
69.18045,134.3329,175.7182481,60.93245094,,180,,190,180-190
72.60996,136.4649,184.4291988,61.89951103,,180,,190,180-190
66.04157,127.8822,167.7454972,58.00645916,,170,,180,170-180
69.2288,123.1361,175.841057,55.85366186,,180,,190,180-190
68.87697,116.3375,174.9474093,52.7698651,,170,,180,170-180
66.46042,124.5581,168.8093756,56.49867097,,170,,180,170-180
69.30444,125.7853,176.0331825,57.05532019,,180,,190,180-190
67.58249,107.5905,171.6594319,48.80228792,,170,,180,170-180
69.41816,143.0236,176.3220312,64.87449084,,180,,190,180-190
67.46867,118.7434,171.3703293,53.86116428,,170,,180,170-180
66.44873,118.9856,168.7796831,53.97102448,,170,,180,170-180
68.76185,131.8744,174.6550047,59.81729278,,170,,180,170-180
63.76881,119.3691,161.9726899,54.14497737,,160,,170,160-170
69.03663,126.1223,175.3529455,57.208181,,180,,190,180-190
66.48966,126.6122,168.8836452,57.43039617,,170,,180,170-180
66.74224,113.5597,169.5251981,51.50987472,,170,,180,170-180
67.69394,115.8413,171.9425148,52.5447923,,170,,180,170-180
66.69066,130.2738,169.3941849,59.09127197,,170,,180,170-180
67.02877,125.4542,170.2529839,56.90513558,,170,,180,170-180
65.91096,117.1655,167.413748,53.14544003,,170,,180,170-180
70.0304,137.3184,177.8771199,62.28665258,,180,,190,180-190
69.26978,149.4447,175.9451462,67.78705627,,180,,190,180-190
70.07695,151.0695,177.9953569,68.52405403,,180,,190,180-190
64.90942,116.9994,164.8698378,53.07009825,,160,,170,160-170
69.68744,138.1787,177.006002,62.67687856,,180,,190,180-190
67.56524,127.621,171.6156169,57.8879807,,170,,180,170-180
63.85529,120.7514,162.192349,54.77197884,,160,,170,160-170
71.6189,144.2537,181.9119078,65.43245548,,180,,190,180-190
64.98993,105.7939,165.0743331,47.9873629,,170,,180,170-180
64.60759,120.1567,164.10319,54.50222714,,160,,170,160-170
62.01666,109.0848,157.5222313,49.48009181,,160,,170,160-170
65.28516,125.971,165.8242169,57.13955239,,170,,180,170-180
67.70163,110.2325,171.9620473,50.00068039,,170,,180,170-180
70.85794,134.4706,179.9790704,60.99491069,,180,,190,180-190
68.17075,115.5067,173.1536115,52.39302011,,170,,180,170-180
67.45006,125.1086,171.3230599,56.74837387,,170,,180,170-180
71.04224,116.4113,180.4471922,52.80334026,,180,,190,180-190
67.83032,133.3944,172.2889198,60.506754,,170,,180,170-180
67.15488,108.7478,170.5733031,49.327231,,170,,180,170-180
68.30289,134.3986,173.4892469,60.962252,,170,,180,170-180
65.41208,131.2085,166.1465935,59.51524526,,170,,180,170-180
68.66755,130.8318,174.4154828,59.34437681,,170,,180,170-180
70.06733,127.0838,177.9709221,57.64431058,,180,,190,180-190
69.13413,119.4067,175.6005954,54.16203246,,180,,190,180-190
67.02078,105.5616,170.2326893,47.88199327,,170,,180,170-180
65.52274,134.4733,166.4276697,60.99613539,,170,,180,170-180
70.19808,132.6897,178.3030269,60.18710708,,180,,190,180-190
67.66866,126.058,171.8783036,57.17901498,,170,,180,170-180
69.73257,126.3532,177.1206322,57.3129156,,180,,190,180-190
67.61719,142.3603,171.7475699,64.57362267,,170,,180,170-180
70.79589,124.5873,179.8214635,56.51191589,,180,,190,180-190
69.65804,122.3604,176.9313261,55.50180984,,180,,190,180-190
66.73277,123.2298,169.5011443,55.89616351,,170,,180,170-180
67.58008,131.4049,171.6533105,59.60433091,,170,,180,170-180
65.25317,124.3037,165.7429623,56.38327694,,170,,180,170-180
